X,Y,Rate_per_100000,Walkability,PopulationFemale,NoHealthInsurance,X.Black
-94.344003,35.451495,108.6,64.222222,559.13,91.89,20.07
-90.154121,35.14182,557.3,146.561111,932.18,151.91,877.71
-90.765079,35.229859,250.2,32.494444,308.7,48.19,114.04
-91.161473,33.866174,192.4,18.680556,158.49,18.05,183.53
-91.882993,33.586464,157.6,24.25,259.8,27.63,148.37
-92.218844,35.242036,158.5,161.083333,1280.84,219.52,308.56
-93.878696,35.624244,86.8,15.344444,150.73,16.37,3.15
-91.962564,36.377212,131,8.083333,99.67,23.43,0.83
-93.047366,34.416188,247.1,149.105556,1046.87,228.27,212.54
-92.567293,34.296421,135.8,14.933333,201.28,18.21,9.57
-90.49534,36.173074,98.6,50.041667,460.94,66.29,16.71
-93.620451,33.854582,142.6,28.472222,261.72,44.21,154.46
-93.210482,34.331756,217.2,39.686111,338.76,54.07,97.39
-93.925394,33.877461,158.6,17.166667,156.14,26.1,60.69
-91.582858,35.597624,147,45.55,410.42,68.51,15.83
-91.92754,36.139118,151.4,20.611111,191.8,25.41,6.7
-91.173693,35.780776,271.4,25.811111,246.42,39.19,56.25
-92.053554,34.243662,506.5,154.288889,1199.49,164.73,1481.09
-93.628447,35.475367,54.7,32.166667,304.09,64.09,10.84
-93.625262,33.170435,138.2,9.677778,98.03,16.65,69.85
-91.027145,35.959132,79.4,31.669444,300.69,43.63,6.46
-90.625602,34.785605,530.8,15.433333,170.76,28.2,196.86
-91.710579,33.909868,338.8,17.361111,182.27,26.5,86.09
-94.006129,33.639257,154,16.347222,208.9,23.75,89.17
-93.476388,35.284267,76.4,28.638889,303.6,40,8.29
-91.747476,34.736278,119.2,87.138889,808.55,123.87,135.77
-93.751926,36.208572,94.2,17.5,203.29,38.84,1.34
-92.584648,36.281656,131.4,18.111111,207.52,22.63,2.46
-94.036511,33.438051,330.5,78.773611,565.15,106.58,344.58
-89.879022,35.941338,250.8,73.455556,616.15,97.82,436.6
-91.141523,34.603114,336.5,15.972222,160.52,26.28,122.62
-93.505557,34.602279,76.1,12.722222,149.63,28.63,0.93
-93.258631,33.677803,173.9,12.111111,146.25,27.21,103.66
-92.750669,33.709307,249.7,34.005556,314.9,43.66,258.84
-92.855125,34.950385,113.7,12.791667,151.33,15.29,2.23
-90.866142,34.318367,353.2,37.55,322.31,47.76,396.64
-93.604327,34.038356,77,15.944444,152.58,27.8,9.45
-90.500527,35.671795,97.4,37.683333,362.37,85.93,36.71
-94.070632,34.562555,83.3,30.75,308.41,62.57,2.6
-93.151669,35.271973,100.7,67.458333,559.82,91.82,29.78
-91.613731,34.737211,188.8,16.513889,149.84,24.63,40.36
-92.364291,34.73404,606.7,978.640079,4846.52,777.23,3791.01
-90.87292,36.328468,93.1,20.388889,201.69,28.39,4.85
-90.987431,35.010401,264.6,31.277778,285.31,50.02,304.21
-92.371064,34.603949,121.8,118.794444,1069.99,120.16,125.3
-94.13018,34.928714,93.8,12.402778,146.46,26.97,0.86
-94.387828,35.380201,195.5,193.966667,1322.68,276.57,185.32
-94.377488,33.996328,89.1,20.361111,197.77,63.46,20.04
-91.498776,36.187518,67.5,19.289683,204.83,27.43,3.21
-92.257844,35.884142,91.7,10.075,100.65,14.72,0.15
-92.856332,33.187868,340.3,62.883333,516.68,81.05,358.69
-92.655564,35.548922,83.8,12.597222,150.3,33.24,2.24
-94.149375,36.199696,178.7,247.722222,1602.35,366.08,107.06
-91.97463,35.159043,114.1,76.230556,668.76,109.87,55.67
-91.178595,35.142663,257.6,10.138889,108.35,11.92,60.69
-93.441435,35.03958,152.5,29.763889,301.01,45.61,16.54
-121.9615,37.527844,428.6,5080.027778,18242.41,1595.17,4146.48
-120.255331,38.54225,519.6,58.872222,423.91,47.42,18.13
-121.504539,39.388784,132.6,356.558333,2580.96,313.98,77.57
-120.473364,38.1289,118,67.597222,496.67,39.4,6.42
-122.283172,39.106677,103.7,22.552778,193.66,38.11,6.57
-122.322348,37.939848,274.9,2336.473413,10616.07,1059.35,1712.86
-124.023062,41.58293,143.7,71.375,336.29,46.65,20.03
-120.248502,38.725681,128.8,336.752778,2046.56,212.26,32.89
-119.793375,36.74307,259.2,2149.116667,9628.3,1570.37,965
-122.209926,39.521392,95.7,35.128968,289.58,50.47,7
-123.757369,40.684624,188.3,299.869444,1446.18,258.2,31
-115.486684,32.668693,252.1,230.547222,1335.16,209.96,65.64
-117.117631,36.251518,150.4,33.291667,242.81,26.56,3.62
-119.06781,35.34494,250.5,1499.34881,7266.77,1142.08,769.4
-119.930133,36.312528,156.8,254.624603,1221.5,192.86,119.44
-122.770803,38.871682,264,144.305555,749.7,107.8,34.54
-120.97024,40.512563,111.9,71.611111,378.38,45.98,48.1
-117.9617,34.095832,586.6,31063.0537,116416.67,22373.51,18390.99
-120.054123,36.936176,146.4,189.194444,1184.55,193.16,56.64
-122.543541,38.100942,357.9,643.325,2805.15,179.33,106.22
-120.085692,37.369645,151.8,23.013889,255.88,26.97,5.61
-123.293023,39.104122,223.8,154.149603,858.08,156.78,13.87
-120.572253,37.201602,142.9,506.916667,2365.72,405.16,164.81
-118.58016,37.703931,71.2,26.689815,140.73,37.76,2.21
-121.843261,36.601554,213.8,1071.111111,4427.02,799.5,193.27
-122.195581,38.411828,222.7,311.194444,1897.52,218.01,66.47
-120.880001,39.23833,140,148.777778,1009.1,129.96,11
-117.910676,33.720791,259.8,7649.965741,29436.68,4166.27,1021.17
-121.270448,38.733183,108.1,846.880556,4143.98,358.91,124.87
-120.934198,39.9351,113.8,48.569444,297.58,21.71,2.96
-116.726737,33.605468,462.8,4744.319444,22475.43,4014.24,2702.44
-121.51824,38.672587,342.4,3904.966667,16212.04,1719.77,2917.3
-121.373806,36.830339,101,112.916667,546.86,81.23,9.76
-117.392148,34.088632,267.2,3983.871825,18464.04,3132.83,2729
-117.221086,32.95124,471.1,7500.286905,31085.52,4933.5,3051.04
-122.418413,37.751822,1519.6,3094.00119,9455.13,715.46,1123.58
-121.31487,38.024447,222.3,1499.866667,6870.97,956.78,955.26
-120.833064,35.32709,154.3,551.683333,2567.28,309.54,106.65
-122.371202,37.594294,258.3,1595.452778,7895.24,596.24,331.22
-120.427651,34.872224,154.7,893.711243,4322.32,804.68,167.79
-121.814483,37.266089,208.8,5020.896032,18396.99,1575.75,904.17
-121.754323,36.927244,206.9,600.628175,2619.22,248.16,51.27
-122.359057,40.99514,137.7,426.597222,2379.31,308.57,56.69
-123.038575,41.350213,160.4,91.819444,553.13,66.16,11.2
-122.213912,38.093212,335.2,1147.2,4786.67,454.56,1326.48
-123.33853,38.613511,332.5,1073.136111,5021.63,562.61,150.98
-120.856397,37.525674,184.4,1149.305556,4749.85,560.63,282.78
-121.612708,39.135321,142.7,218.886111,1053.3,166.24,39.78
-122.634508,40.062176,88.6,86.027778,546.62,67.98,8.68
-122.738,40.850639,147.6,19.888889,149.85,30.39,1.76
-119.304778,36.319847,134.7,572.616667,3803.53,629.21,125.84
-120.426131,37.931562,108.8,64.119444,502.95,51.57,9.52
-119.202478,34.268255,155.5,1970.880556,8595,1441,319.34
-121.721574,38.555812,161.5,536.405556,2113.66,195.05,104.35
-121.542398,39.120708,153.3,133.978968,680.29,101.87,45.11
-104.903956,39.843596,288.5,1147.847222,4769.58,1010.96,306.52
-105.929608,37.456129,210.2,26.083333,200.27,45.98,3.58
-104.870617,39.69109,288,1803.525,7420.26,1100.3,1412.96
-107.237667,37.106767,131.3,22.555556,192.8,42.05,5.66
-105.253508,40.003901,166.4,839.827381,3363.97,315.87,62.8
-105.020423,39.949292,26.7,155.152778,747.12,66.16,20.73
-106.070361,38.870205,115.5,37.152778,232.06,50.19,8.02
-105.534468,39.675105,162.9,23.722222,149.1,31.53,4.59
-108.02503,38.903196,89.6,44.055556,345.63,61.29,8.58
-104.931402,39.756519,893,2070.586111,7145.72,1268.51,1240.97
-104.907598,39.547413,91.4,532.016667,3053.89,181.13,88.47
-106.753004,39.598209,140.6,108.861111,629.41,137.64,13.35
-104.634833,39.412559,126.3,33.166667,343.67,35.36,2.79
-104.804302,38.869788,165.2,1428.55,6395.27,981.17,801.26
-105.097919,38.359542,391.8,72.375,556.34,71.3,8.86
-108.470153,39.521786,144.3,95.152778,545.26,178.15,5.33
-105.887689,39.941368,107.3,23.680556,142.42,37.42,2.67
-106.715906,38.666019,64.7,34.9,181.65,31.53,3.33
-104.965969,37.685869,196.3,10.055556,101.23,18.97,1.04
-105.13683,39.631307,180.8,1502.933333,6853.78,742.86,163.06
-106.34589,39.201057,116.5,13,87.5,37.82,0.22
-107.587057,37.380059,114.1,67.763889,499.15,82.7,4.73
-105.088199,40.545424,100.1,751.491667,3598.46,463.86,70.49
-104.726497,37.313384,182.4,24.055556,184.86,29.31,4.93
-103.602277,39.346648,225.9,12.305556,79.48,16.24,13.26
-103.10449,40.91612,158.6,33.963889,222.59,47.48,5.45
-108.011728,39.211972,115.1,221.547222,1467.65,279.9,20.11
-108.231356,40.621687,111.3,22.811111,190.1,58.43,3.98
-108.708298,37.134065,111.9,36.440476,298.18,65.34,1.49
-108.232616,38.533617,74.2,56.283333,504.52,105.34,4.95
-103.838558,40.150631,106.6,50.55,395.81,73.37,25.13
-103.708703,38.085484,92.1,55.994444,358.9,71.06,4.22
-105.823293,39.186132,118.2,25.027778,228.71,41.9,1.33
-107.131646,39.234001,143,38.958333,198.52,42.55,2.79
-102.477956,37.921785,101.6,39.527778,245.17,57.13,2.74
-104.631036,38.237766,169,383.497222,2705.37,367.95,113.21
-106.367495,37.674064,105.2,19.916667,146.9,33.64,4.2
-107.170439,40.350144,120.2,52.388889,383.19,56.84,5.62
-106.2785,38.115999,187.6,12.166667,100.45,26.7,1.02
-107.980937,37.964225,69.3,28.5,189.6,34.66,0.05
-105.932549,39.609089,164.9,35.85,232.87,82.61,4.24
-105.058649,38.971104,75.7,33.888889,242.75,45.46,3.88
-104.76535,40.425321,89,553.294445,3722.44,609.83,87.65
-102.262485,40.01494,137.1,11.558333,100.49,17.82,2.02
-73.231048,41.238791,337.1,2183.058333,10739.22,1734.35,2487.29
-72.793953,41.663902,407.8,2359.349206,11324.63,950.34,3431.92
-73.20781,41.689792,149.2,376.958333,2566.24,205.34,101.9
-72.520378,41.313682,199,329.588889,1839.15,120.45,223.14
-72.831104,41.555823,451.4,2110.461111,9760.03,966.41,2606.69
-72.095636,41.34453,239.8,596.502778,3236.19,254.39,369.04
-72.452287,41.848206,105.7,195.525,1416.83,75.88,74.36
-71.818415,41.702473,187.1,164.727778,1252.65,107.48,47.92
-75.614496,39.260045,317.1,286.875,1654.38,221.77,833.44
-75.490511,39.805411,437.2,1513.313889,6670.43,658.28,3395.9
-75.083232,38.724934,341,418.958333,2745.11,317.63,545.28
-76.99503,38.949231,2310.2,2498.416667,9151.15,658.17,8470.08
-82.430792,29.645276,433.2,571.272222,2880.03,520.32,1164.05
-82.099362,30.32105,477.5,22.555556,191.98,39.88,51.42
-85.90355,30.238011,328.4,440.166667,2121.19,561.8,526.27
-82.205715,29.88391,303.2,21.177778,182,45.19,82.33
-80.629691,28.064231,316,1129.094444,5655.71,1156.87,1077.85
-80.272017,26.01573,1194.8,4442.572222,18368.66,5044.72,9603.93
-85.093768,30.374184,221.8,13.144444,141.66,47.08,25.75
-82.022461,27.002455,187.7,276.038889,1943.73,371.35,186.59
-82.462582,28.911717,179.5,181.933333,1388.78,281.85,68.83
-81.760781,30.12701,225.4,202.902778,1456.19,314.04,277.9
-81.808857,26.255681,289.5,533.308333,3741.83,1001.98,464.93
-82.664081,30.171714,541.1,73.763889,592.31,156.82,216.18
-81.856833,27.186329,405.6,50.672222,401.65,167.52,122.03
-83.121269,29.648746,292.7,13.494444,131.87,49.36,27.52
-81.46312,30.333946,779.3,1943.225,8921.7,2111.63,5488.68
-87.167559,30.419098,481.2,727.1,3572.72,759.3,1763.24
-81.198239,29.566564,226.8,136.208333,1043.34,252.84,178.84
-84.875945,29.887399,185.4,28.333333,178.74,72.86,55.53
-84.362609,30.636117,659,43.888889,471.99,127.77,504.49
-82.709828,29.644171,150.7,21.361111,237.38,79.52,30.82
-80.988145,26.919726,716.7,12.511111,130.83,69.39,34.93
-85.25204,30.063895,239.6,18.608333,129.83,31.1,53.79
-82.900172,30.51257,1199.2,14.8,143.06,41.57,93.56
-81.932947,27.426477,275.4,34.077778,281.05,65.98,35.43
-80.903721,26.8354,406.7,35.483333,277.87,155.9,63.29
-82.529659,28.522398,233.1,369.486111,2287.69,533.94,221.29
-81.503405,27.507061,272.5,152.672222,1227.56,267.56,273.2
-82.131313,28.002565,567.6,3139.935317,15871.38,3965.09,5314.48
-85.771839,30.863582,148.4,15.711111,185.12,71.09,23.56
-80.412095,27.630822,278.9,211.436905,1530,292.83,213.48
-85.083536,30.871287,1092.7,54.880556,510.63,120.62,312.43
-83.949585,30.327925,1023.9,16.236111,146.86,22.18,99.34
-83.162516,29.953613,178.9,9.083333,71.65,37.37,36.43
-81.673379,28.80453,330.3,402.880556,2917.07,630.24,585.68
-82.014845,26.623027,325.6,1538.884524,8447.54,2036.91,1319.69
